,title,price,year,link,brand,age
0,1974 dodge stepside 426 hemi,10500,1974.0,https://charlottesville.craigslist.org/cto/d/leon-1974-dodge-stepside-426-hemi/7789839912.html,dodge,51.0
1,"2013 lexus rx350 only 61,500 miles",18900,2013.0,https://charlottesville.craigslist.org/cto/d/montpelier-station-2013-lexus-rx350/7789660542.html,lexus,12.0
2,sequoia 2005,2000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-sequoia-2005/7789621711.html,missing,20.0
3,2005 toyota tundra sr5 crew cab,7000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-toyota-tundra-sr5/7789375315.html,toyota,20.0
4,2014 gmc sierra 1500,15000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-gmc-sierra-1500/7789254479.html,gmc,11.0
5,2000 chevy silverado 1500 ls,8000,2000.0,https://charlottesville.craigslist.org/cto/d/dyke-2000-chevy-silverado-1500-ls/7789118921.html,chevy,25.0
6,mercedes benz 2016 gle 300d diesel suv,25000,2016.0,https://charlottesville.craigslist.org/cto/d/charlottesville-mercedes-benz-2016-gle/7788972093.html,missing,9.0
7,used 2009 hyundai santa fe,3000,2009.0,https://charlottesville.craigslist.org/cto/d/crozet-used-2009-hyundai-santa-fe/7788831771.html,missing,16.0
8,2006 mercedes-benz slk280 2dr convertible,5999,2006.0,https://charlottesville.craigslist.org/cto/d/montpelier-station-2006-mercedes-benz/7788762438.html,missing,19.0
9,2013 toyota yaris hatchback,3000,2013.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2013-toyota-yaris/7788624971.html,toyota,12.0
10,2014 honda crv ex-l cr-v,13000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-honda-crv-ex-cr/7788420608.html,honda,11.0
11,2021 toyota tundra 1794 crew max,49900,2021.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2021-toyota-tundra-1794/7788385998.html,toyota,4.0
12,2016 nissan altima sl,4800,2016.0,https://charlottesville.craigslist.org/cto/d/palmyra-2016-nissan-altima-sl/7788212655.html,missing,9.0
13,buick,4000,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7788145297.html,buick,
14,2006 buick lacrosse cx,2600,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-buick-lacrosse-cx/7788091829.html,buick,19.0
15,2005 ford f-150 2wd- not running,1000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-ford-150-2wd-not/7788041184.html,ford,20.0
16,2008 subaru impreza,2000,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-subaru-impreza/7787924583.html,subaru,17.0
17,2018 tesla model 3 mid range or 2018 tesla model s75d awd,16900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-mid-range-or/7787917504.html,tesla,7.0
18,2010 lexus is250c convertible,14950,2010.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2010-lexus-is250c/7787904942.html,lexus,15.0
19,bmw x5,8500,,https://charlottesville.craigslist.org/cto/d/waynesboro-bmw-x5/7787579073.html,bmw,
20,bmw z3,5900,,https://charlottesville.craigslist.org/cto/d/staunton-bmw-z3/7787567192.html,bmw,
21,1998 toyota camery,1500,1998.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1998-toyota-camery/7787566957.html,toyota,27.0
22,2007 mercedes benz c280 or 2005 benz e500 4matic $3950,4950,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-mercedes-benz-c280-or-2005/7786722300.html,missing,18.0
23,2005 nissan maxima se,3500,2005.0,https://charlottesville.craigslist.org/cto/d/dillwyn-2005-nissan-maxima-se/7786586063.html,missing,20.0
24,2012 subaru impreza 2.0i premium sedan 4d,7400,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-subaru-impreza-20i/7786582182.html,subaru,13.0
25,2008 chevrolet silverado,6000,2008.0,https://charlottesville.craigslist.org/cto/d/stuarts-draft-2008-chevrolet-silverado/7786493479.html,chevrolet,17.0
26,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7786413068.html,honda,13.0
27,f-350 6.0 diesel service body,12850,,https://charlottesville.craigslist.org/cto/d/charlottesville-diesel-service-body/7786360711.html,missing,
28,2007 honda element ex,8500,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-honda-element-ex/7786323697.html,honda,18.0
29,85 short bed chevy,10,,https://charlottesville.craigslist.org/cto/d/earlysville-85-short-bed-chevy/7786302799.html,chevy,
30,2004 audi a6 2.7t s-line quatro sedan 4d,1200,2004.0,https://charlottesville.craigslist.org/cto/d/scottsville-2004-audi-a6-27t-line/7786238457.html,audi,21.0
31,"2001 ford 250, 7.3 diesel, 4 x  4 ,with storage bin cap",10900,2001.0,https://charlottesville.craigslist.org/cto/d/pratts-2001-ford-diesel-x-with-storage/7786230476.html,ford,24.0
32,1989 chevrolet silverado 4x4,17500,1989.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1989-chevrolet/7786188892.html,chevrolet,36.0
33,2010 jaguar xk,21900,2010.0,https://charlottesville.craigslist.org/cto/d/boston-2010-jaguar-xk/7785824836.html,missing,15.0
34,2015 honda odyssey ex,9950,2015.0,https://charlottesville.craigslist.org/cto/d/henrico-2015-honda-odyssey-ex/7785813701.html,honda,10.0
35,2005 hyundai elantra,1200,2005.0,https://charlottesville.craigslist.org/cto/d/afton-2005-hyundai-elantra/7785683810.html,missing,20.0
36,2007 f250 king ranch,17500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2007-f250-king-ranch/7785680751.html,missing,18.0
37,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6400,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7785561584.html,gmc,27.0
38,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7785499961.html,honda,19.0
39,2015 gmc terrain - good condition,3500,2015.0,https://charlottesville.craigslist.org/cto/d/keswick-2015-gmc-terrain-good-condition/7785267240.html,gmc,10.0
40,buick,4500,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7785078444.html,buick,
41,jeep wrangler,12500,,https://charlottesville.craigslist.org/cto/d/waynesboro-jeep-wrangler/7785014681.html,jeep,
42,2007 toyota camry v6 xle,4100,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-toyota-camry-v6-xle/7785001447.html,toyota,18.0
43,1994 chevy s10,4000,1994.0,https://charlottesville.craigslist.org/cto/d/palmyra-1994-chevy-s10/7784965289.html,chevy,31.0
44,toyota 4runner,3500,,https://charlottesville.craigslist.org/cto/d/quinque-toyota-4runner/7784875544.html,toyota,
45,1962 m38-a1 military jeep,1500,1962.0,https://charlottesville.craigslist.org/cto/d/scottsville-1962-m38-a1-military-jeep/7784860520.html,jeep,63.0
46,2010 avalanche,5500,2010.0,https://charlottesville.craigslist.org/cto/d/mineral-2010-avalanche/7784792017.html,missing,15.0
47,dodge m37 powerwagon,6000,,https://charlottesville.craigslist.org/cto/d/piney-river-dodge-m37-powerwagon/7784758445.html,dodge,
48,"2018 toyota tacoma truck sr5 4wd double cab, 6 cyl, auto, 30,000 miles",30550,2018.0,https://charlottesville.craigslist.org/cto/d/louisa-2018-toyota-tacoma-truck-sr5-4wd/7784680777.html,toyota,7.0
49,2003 toyota highlander,3300,2003.0,https://charlottesville.craigslist.org/cto/d/lovingston-2003-toyota-highlander/7784607564.html,toyota,22.0
50,2011 chrysler town and country,2500,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-chrysler-town-and/7784233445.html,missing,14.0
51,2006 mitsubishi endeavor awd ls,2500,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-mitsubishi/7784157813.html,mitsubishi,19.0
52,2019 hyundai kona excellent condition,15000,2019.0,https://charlottesville.craigslist.org/cto/d/barboursville-2019-hyundai-kona/7783977835.html,missing,6.0
53,2011 bmw 328i xdrive sedan 4d,6000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-328i-xdrive/7783905386.html,bmw,14.0
54,2004 dodge durango,2000,2004.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2004-dodge-durango/7783863430.html,dodge,21.0
